哈TV有线,#genre#
VIVA 1台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_59_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森購物5台,http://58.99.33.2:1935/liveedge4/ywYSMkid_60_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
CATCHPLAY電影台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_61_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森電影台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_62_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
緯來電影台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_63_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
冠軍電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_64_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
HBO(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_65_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森洋片台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_66_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
中天娛樂台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_67_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
好萊塢電影台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_68_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
